time,ref_x,x,ref_y,y,ref_z,z,ref_u,u,ref_v,v,ref_w,w,ref_phi,phi,ref_theta,theta,ref_psi,psi,thrust
2.25,1.14226,0.887867,-0.86711,-0.900238,1,0.925228,1.16711,1.33888,0.94226,0.851561,0,0.0134817,0.0242744,0.0181248,0.15419,0.163207,2.22,1.80059,0.211226
2.3,1.19941,0.962933,-0.818558,-0.855531,1,0.926031,1.11856,1.30998,0.999414,0.896604,0,0.0159562,0.0221085,0.0122868,0.151658,0.162004,2.27,1.85979,0.209922
2.35,1.25407,1.02362,-0.76721,-0.815424,1,0.926765,1.06721,1.27222,1.05407,0.947141,0,0.0244767,0.026871,0.0112648,0.155216,0.159576,2.32,1.90408,0.208825
2.4,1.30609,1.08295,-0.713195,-0.772518,1,0.927862,1.0132,1.21584,1.10609,1.02517,0,0.0293865,0.0195113,0.0120796,0.154181,0.161195,2.37,1.95053,0.207939
2.45,1.35535,1.14072,-0.656647,-0.727011,1,0.929055,0.956647,1.15689,1.15535,1.11113,0,0.0286078,0.0182436,0.0110033,0.159667,0.161999,2.42,1.99653,0.207589
2.5,1.40172,1.19653,-0.597708,-0.678973,1,0.930003,0.897708,1.12372,1.20172,1.14026,0,0.0305234,0.0164154,0.0108699,0.158753,0.160048,2.47,2.04213,0.207552
2.55,1.44508,1.2507,-0.536526,-0.628627,1,0.931508,0.836526,1.04909,1.24508,1.21553,0,0.0367369,0.0121293,0.00300534,0.165438,0.160565,2.52,2.08881,0.206815
2.6,1.48533,1.30284,-0.473252,-0.575978,1,0.932995,0.773252,1.01119,1.28533,1.25499,0,0.0376739,0.0103422,0.00366694,0.162846,0.163176,2.57,2.13666,0.206319
2.65,1.52237,1.36227,-0.408046,-0.510236,1,0.934782,0.708046,0.940638,1.32237,1.30627,0,0.0413246,0.0168222,-0.00154408,0.161901,0.162675,2.62,2.18908,0.205732
2.7,1.55611,1.40629,-0.34107,-0.457088,1,0.93645,0.64107,0.901986,1.35611,1.32747,0,0.0467531,0.0115824,-0.000406324,0.172822,0.165409,2.67,2.23231,0.204932
2.75,1.58645,1.45384,-0.272491,-0.39436,1,0.93888,0.572491,0.813887,1.38645,1.37777,0,0.0533552,0.0110653,-0.00319909,0.180077,0.169922,2.72,2.28111,0.204121
2.8,1.61333,1.49571,-0.202482,-0.333794,1,0.941041,0.502482,0.779313,1.41333,1.40367,0,0.053692,0.0116168,-0.00484701,0.180669,0.172612,2.77,2.32908,0.203732
2.85,1.63668,1.53479,-0.131217,-0.27168,1,0.942719,0.431217,0.687818,1.43668,1.44576,0,0.0404917,0.0140174,-0.00732069,0.186326,0.17362,2.82,2.37641,0.204287
