time,ref_x,x,ref_y,y,ref_z,z,ref_u,u,ref_v,v,ref_w,w,ref_phi,phi,ref_theta,theta,ref_psi,psi,thrust
5.9,4.63739,3.34497,-1.73381,-1.03564,1,0.712456,1.86938,2.04195,3.60216,1.71847,0,0.211219,-0.276918,-0.382874,-0.287972,-0.227243,7.2369e-18,0.0271984,0.65176
5.95,4.72503,3.40008,-1.54534,-0.985955,1,0.717871,1.63527,1.95102,3.93035,1.81748,0,0.230808,-0.23162,-0.372128,-0.304231,-0.23367,0,0.0267901,0.638572
6,4.80085,3.53009,-1.34143,-0.845682,1,0.733759,1.39708,1.71617,4.21927,2.0375,0,0.263918,-0.200482,-0.322381,-0.308037,-0.255415,-3.64082e-18,0.0241974,0.628512
6.05,4.86468,3.57617,-1.12412,-0.787159,1,0.740499,1.15539,1.62451,4.46603,2.10967,0,0.271914,-0.15521,-0.308958,-0.316082,-0.261715,-3.65028e-18,0.023813,0.615513
6.1,4.91634,3.68332,-0.895573,-0.628584,1,0.758702,0.910813,1.38811,4.66817,2.26078,0,0.27214,-0.119762,-0.251444,-0.340757,-0.287153,0,0.0216569,0.610719
6.15,4.95572,3.76911,-0.658079,-0.470378,1,0.775356,0.66396,1.16281,4.82366,2.36037,0,0.252506,-0.0794453,-0.209183,-0.330496,-0.303514,-1.83398e-18,0.0198431,0.601095
6.2,4.98271,3.8043,-0.41401,-0.393962,1,0.782733,0.415447,1.05582,4.93096,2.39285,0,0.237561,-0.0135696,-0.177265,-0.366943,-0.314275,4.64611e-19,0.0184829,0.597016
6.25,4.99725,3.86786,-0.165805,-0.228869,1,0.796554,0.165896,0.829048,4.98899,2.43462,0,0.19808,0.0236682,-0.13074,-0.391885,-0.326765,1.87702e-18,0.0159274,0.59626
6.3,4.99929,3.89251,0.084058,-0.150519,1,0.802094,-0.08407,0.72209,4.99717,2.44196,0,0.178302,0.0627875,-0.0985956,-0.37838,-0.334654,-1.86677e-18,0.0142512,0.595108
6.35,4.98884,3.93487,0.33308,0.0169789,1,0.809544,-0.333825,0.492416,4.95542,2.43072,0,0.131781,0.103647,-0.0500859,-0.400487,-0.349894,0,0.0121272,0.596902
